# Data file for cluster-median problem
# Generated from: ./datasets/2d-3c-no123.arff
# Sampled: 10.0% of original data (seed=42)

param m := 71;
param k := 3;

param d:
                1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71 :=
 12     1.995167    0.323853    1.823128    0.370258    0.423355    1.966803    0.746152    0.887427    1.572645    0.898471    1.491320    0.000000    1.137443    2.232669    1.478013    2.005451    1.459173    0.507692    0.386877    2.218250    0.320488    2.583749    0.984034    0.655773    0.302748    1.639616    0.260945    1.283436    1.020338    2.080912    2.687404    2.754448    2.781537    2.664726    3.048787    2.794723    2.768567    2.629442    2.852853    3.095271    2.768215    3.116812    2.861791    2.561596    2.364107    2.731309    3.063455    2.588766    3.022454    3.185066    2.923310    2.915544    2.554026    2.571377    2.988574    2.851157    2.904389    2.654394    2.813858    3.100713    2.629153    4.488545    3.624894    3.743615    3.971601    3.152026    4.095314    3.278523    3.281308    4.197584    3.138581
 13     0.930842    1.353842    0.686509    0.949856    0.715929    0.857410    0.493800    0.420329    0.599557    1.004247    0.455118    1.137443    0.000000    1.095470    0.359382    0.876475    0.628329    1.086271    1.182500    1.131120    0.850404    1.447222    0.321977    0.600627    0.840299    0.528446    0.983651    0.181406    0.780966    0.958182    1.605357    1.772412    2.031141    1.819039    2.276747    1.977199    1.953896    1.664961    1.780060    2.273564    1.979863    2.194916    2.100598    1.558008    1.285498    1.765800    2.257669    1.579095    2.213622    2.350437    2.143771    2.107656    1.460291    1.483548    2.250262    1.830477    2.063671    1.613427    1.858755    2.392416    1.658518    3.375674    2.562894    2.640399    2.896468    2.040388    3.061777    2.168114    2.154776    3.119200    2.001621
 14     0.587188    2.441082    0.409930    2.016357    1.811355    0.427704    1.540318    1.432902    0.859739    1.922745    0.855645    2.232669    1.095470    0.000000    0.766541    0.266692    1.099712    2.131772    2.251863    0.499654    1.942680    0.353057    1.316707    1.649954    1.935557    0.646828    2.071629    0.957605    1.638459    0.305850    0.714013    1.111676    1.726478    1.417835    1.883457    1.579567    1.567190    1.076718    0.883854    1.802854    1.629237    1.565489    1.762258    0.912443    0.522349    1.144211    1.815553    0.910071    1.775485    1.844813    1.767025    1.693985    0.563081    0.602687    1.913061    1.063590    1.605622    0.847461    1.234750    2.070647    1.058323    2.315911    1.617813    1.608625    1.911814    1.008638    2.145577    1.134299    1.081421    2.122440    0.906210
 15     0.764254    1.708747    0.361316    1.249817    1.062444    0.630460    0.773815    0.764020    0.349380    1.332725    0.456703    1.478013    0.359382    0.766541    0.000000    0.527619    0.741948    1.444648    1.541669    0.915837    1.203283    1.111629    0.653700    0.883549    1.187400    0.362881    1.339120    0.194579    1.082305    0.694864    1.246285    1.433193    1.764455    1.524398    1.996025    1.688188    1.666529    1.332713    1.421500    1.976482    1.701132    1.867934    1.828020    1.215300    0.927349    1.431594    1.966114    1.234354    1.921971    2.047858    1.863660    1.818696    1.100910    1.124272    1.981627    1.480627    1.764564    1.260495    1.526356    2.130482    1.324412    3.019766    2.204444    2.282292    2.537164    1.683456    2.705860    1.811000    1.804046    2.759824    1.666501
 16     0.639680    2.230294    0.212551    1.771136    1.588471    0.449650    1.295127    1.247807    0.593388    1.775943    0.729848    2.005451    0.876475    0.266692    0.527619    0.000000    1.010964    1.944648    2.053479    0.647366    1.726535    0.589595    1.131836    1.403731    1.713385    0.516054    1.860077    0.722149    1.500547    0.393383    0.775487    1.079800    1.603636    1.310475    1.789274    1.477524    1.461542    1.014473    0.954782    1.729390    1.515598    1.538435    1.649508    0.862317    0.491496    1.098456    1.733798    0.869840    1.691471    1.783222    1.665021    1.600392    0.620202    0.651698    1.804142    1.075330    1.522529    0.847946    1.194165    1.961332    0.999553    2.501025    1.728592    1.771665    2.046541    1.168947    2.245920    1.296870    1.278440    2.265094    1.142181
 17     0.618747    1.558679    0.807186    1.411458    1.070991    0.689713    1.045650    0.579703    1.089679    0.866091    0.299026    1.459173    0.628329    1.099712    0.741948    1.010964    0.000000    1.173653    1.328209    0.848914    1.138850    1.422034    0.509511    1.132542    1.168883    0.498382    1.225824    0.713951    0.579139    0.825910    1.778780    2.078710    2.495254    2.238743    2.717037    2.405438    2.385290    1.998505    1.956919    2.683577    2.425659    2.532882    2.555347    1.858056    1.501771    2.090126    2.678622    1.869683    2.634776    2.748254    2.586032    2.534750    1.622250    1.656653    2.710242    2.085678    2.471777    1.858150    2.186610    2.861761    1.986297    3.388449    2.714140    2.702172    3.011456    2.106374    3.239384    2.230689    2.157412    3.221021    1.927118
 18     1.774363    0.416484    1.739859    0.772052    0.518649    1.793361    0.902875    0.699247    1.643869    0.422001    1.301256    0.507692    1.086271    2.131772    1.444648    1.944648    1.173653    0.000000    0.171714    2.006081    0.381567    2.482840    0.815650    0.865035    0.451636    1.491579    0.285815    1.263823    0.628305    1.922248    2.690828    2.843130    2.996617    2.832402    3.257810    2.978458    2.953321    2.728815    2.866106    3.280739    2.965619    3.247196    3.073240    2.633611    2.371694    2.830941    3.256483    2.656503    3.213491    3.364888    3.127148    3.105686    2.544144    2.568488    3.212192    2.911767    3.077918    2.697559    2.920970    3.339023    2.724497    4.442484    3.649020    3.716256    3.980977    3.113561    4.147260    3.241480    3.211344    4.202826    3.025517
 19     1.919904    0.244881    1.853111    0.707309    0.536633    1.928811    0.929713    0.822576    1.712794    0.592527    1.436753    0.386877    1.182500    2.251863    1.541669    2.053479    1.328209    0.171714    0.000000    2.150861    0.381631    2.604396    0.937394    0.872849    0.437021    1.618958    0.245263    1.354416    0.795672    2.055040    2.785898    2.913884    3.026361    2.877903    3.290388    3.019018    2.993457    2.795879    2.959025    3.321536    3.001451    3.306116    3.104482    2.708644    2.464297    2.898289    3.294626    2.732906    3.252210    3.407811    3.161206    3.144425    2.642333    2.664848    3.239478    2.991187    3.122222    2.781359    2.986295    3.361295    2.792787    4.554449    3.740844    3.822278    4.077519    3.221220    4.231977    3.349077    3.327317    4.300850    3.151554
 20     0.231971    2.368810    0.613261    2.077641    1.799752    0.285598    1.623615    1.342778    1.157137    1.714828    0.727147    2.218250    1.131120    0.499654    0.915837    0.647366    0.848914    2.006081    2.150861    0.000000    1.904025    0.680676    1.237183    1.731467    1.915859    0.603450    2.013945    1.061810    1.428029    0.257860    1.186420    1.608063    2.220488    1.914630    2.382612    2.077536    2.064590    1.576307    1.343252    2.302367    2.125260    2.058248    2.258701    1.411804    1.022002    1.642485    2.315203    1.408710    2.275096    2.343398    2.265255    2.193042    1.045052    1.085864    2.410426    1.548332    2.105206    1.339405    1.731963    2.568120    1.557818    2.579528    2.017216    1.934966    2.273369    1.370054    2.546356    1.483897    1.371459    2.467688    1.107017
 21     1.679136    0.506220    1.535604    0.416078    0.155993    1.657999    0.548234    0.567718    1.344270    0.662554    1.176945    0.320488    0.850404    1.942680    1.203283    1.726535    1.138850    0.381567    0.381631    1.904025    0.000000    2.295387    0.667262    0.493555    0.073174    1.333811    0.142282    1.010599    0.726008    1.775629    2.436476    2.543240    2.644868    2.497342    2.908782    2.637717    2.612118    2.423250    2.606730    2.940212    2.619846    2.929163    2.722915    2.341181    2.113312    2.525679    2.913101    2.366381    2.870724    3.026713    2.779575    2.762951    2.297080    2.317331    2.858219    2.626435    2.741382    2.420675    2.612501    2.980774    2.420856    4.222980    3.385818    3.483692    3.726941    2.886400    3.869831    3.013794    3.004971    3.951614    2.848510
 22     0.849577    2.794130    0.760759    2.359627    2.163128    0.732729    1.883392    1.784501    1.156634    2.262797    1.197236    2.583749    1.447222    0.353057    1.111629    0.589595    1.422034    2.482840    2.604396    0.680676    2.295387    0.000000    1.668476    1.992384    2.287512    0.993621    2.424635    1.304761    1.976418    0.596888    0.561147    1.029572    1.732847    1.415803    1.844353    1.562395    1.555568    1.038128    0.690198    1.738056    1.626205    1.448642    1.753032    0.876491    0.551304    1.077614    1.761561    0.861380    1.725920    1.762765    1.742556    1.660499    0.458632    0.496583    1.893644    0.928589    1.561295    0.753838    1.154193    2.047533    1.016913    1.972108    1.337369    1.281834    1.604562    0.696154    1.866986    0.815658    0.737393    1.806804    0.555164
 23     1.011879    1.139689    0.925028    0.902704    0.574508    0.997493    0.557173    0.116422    0.921496    0.684078    0.510634    0.984034    0.321977    1.316707    0.653700    1.131836    0.509511    0.815650    0.937394    1.237183    0.667262    1.668476    0.000000    0.632795    0.683604    0.681890    0.778274    0.499365    0.462845    1.120351    1.889331    2.084391    2.351715    2.140950    2.598362    2.299168    2.275846    1.980122    2.066744    2.595479    2.301480    2.512344    2.421695    1.867728    1.575340    2.080243    2.579644    1.887411    2.535599    2.672121    2.465399    2.429615    1.739395    1.765852    2.570858    2.134289    2.385475    1.913539    2.174029    2.712053    1.972906    3.627047    2.848812    2.903087    3.174926    2.299900    3.355626    2.427767    2.395711    3.395125    2.214258
 24     1.530403    0.950319    1.243779    0.367441    0.346405    1.455471    0.110160    0.609149    0.923515    1.032721    1.041005    0.655773    0.600627    1.649954    0.883549    1.403731    1.132542    0.865035    0.872849    1.731467    0.493555    1.992384    0.632795    0.000000    0.436334    1.128232    0.628007    0.696014    0.962476    1.549746    2.045414    2.098688    2.155569    2.019617    2.420649    2.155278    2.129410    1.973733    2.207113    2.457314    2.134041    2.464455    2.234280    1.906764    1.723506    2.075648    2.428347    1.934266    2.386440    2.545296    2.292424    2.278876    1.917553    1.932314    2.367664    2.196884    2.261784    2.003046    2.158583    2.488520    1.973387    3.854418    2.974252    3.105720    3.323118    2.521349    3.440516    2.646438    2.663418    3.549531    2.545910
 25     1.693432    0.533363    1.526806    0.344493    0.124957    1.664125    0.500560    0.591470    1.310723    0.732415    1.189144    0.302748    0.840299    1.935557    1.187400    1.713385    1.168883    0.451636    0.437021    1.915859    0.073174    2.287512    0.683604    0.436334    0.000000    1.337239    0.191827    0.993361    0.782217    1.778729    2.412097    2.506386    2.591497    2.449840    2.856217    2.588197    2.562465    2.384931    2.580746    2.890535    2.568619    2.886568    2.670005    2.306763    2.088623    2.487302    2.862483    2.332566    2.820344    2.977754    2.727603    2.712659    2.274860    2.294021    2.803902    2.593530    2.693171    2.390400    2.573076    2.924789    2.383101    4.204933    3.357841    3.463204    3.700964    2.867981    3.837776    2.995059    2.991287    3.926156    2.841766
 26     0.416558    1.819734    0.308999    1.477370    1.216881    0.330250    1.020198    0.796402    0.688665    1.277763    0.215024    1.639616    0.528446    0.646828    0.362881    0.516054    0.498382    1.491579    1.618958    0.603450    1.333811    0.993621    0.681890    1.128232    1.337239    0.000000    1.454388    0.468056    0.995836    0.441832    1.289810    1.580564    2.024563    1.755956    2.236459    1.923576    1.904501    1.502210    1.468870    2.195437    1.949016    2.035486    2.080647    1.360058    1.004871    1.592803    2.193027    1.371396    2.149476    2.257406    2.106943    2.051617    1.133721    1.166510    2.236194    1.588442    1.984371    1.360913    1.689269    2.390141    1.489556    2.962606    2.236611    2.252670    2.545528    1.650386    2.757693    1.777194    1.727784    2.760199    1.534013
 27     1.786498    0.370239    1.666335    0.486912    0.297929    1.774971    0.688404    0.671275    1.486261    0.642353    1.288630    0.260945    0.983651    2.071629    1.339120    1.860077    1.225824    0.285815    0.245263    2.013945    0.142282    2.424635    0.778274    0.628007    0.191827    1.454388    0.000000    1.147491    0.761559    1.895536    2.575690    2.685471    2.782641    2.638116    3.047096    2.777676    2.752015    2.565531    2.746541    3.080113    2.758942    3.071170    2.861000    2.483186    2.252738    2.667960    3.052537    2.508299    3.010280    3.166939    2.918250    2.902546    2.435388    2.456122    2.995320    2.768183    2.881903    2.561867    2.754772    3.116523    2.563127    4.358686    3.526234    3.620871    3.866606    3.022574    4.011345    3.150115    3.138156    4.091052    2.976505
 28     0.884613    1.516541    0.548995    1.060330    0.868425    0.778079    0.585871    0.601177    0.425810    1.183278    0.474238    1.283436    0.181406    0.957605    0.194579    0.722149    0.713951    1.263823    1.354416    1.061810    1.010599    1.304761    0.499365    0.696014    0.993361    0.468056    1.147491    0.000000    0.951679    0.860381    1.431488    1.591012    1.862737    1.643460    2.104965    1.803069    1.780119    1.483705    1.604861    2.097911    1.808218    2.014194    1.930713    1.376769    1.110075    1.584472    2.083243    1.398021    2.039135    2.173677    1.971995    1.933687    1.288790    1.310635    2.081638    1.650119    1.887411    1.434071    1.677527    2.225846    1.477180    3.212542    2.387193    2.473398    2.723120    1.875833    2.883438    2.003200    1.998430    2.946614    1.859847
 29     1.197488    1.038368    1.287998    1.104252    0.733030    1.252482    0.924879    0.396481    1.377294    0.288374    0.783168    1.020338    0.780966    1.638459    1.082305    1.500547    0.579139    0.628305    0.795672    1.428029    0.726008    1.976418    0.462845    0.962476    0.782217    0.995836    0.761559    0.951679    0.000000    1.387696    2.274961    2.512260    2.812010    2.594567    3.056358    2.754694    2.731787    2.414572    2.454201    3.048833    2.759533    2.950189    2.881119    2.292717    1.973574    2.512862    3.034775    2.309891    2.990653    3.123485    2.923374    2.885328    2.120459    2.150876    3.031113    2.547660    2.837900    2.322645    2.607999    3.173356    2.405855    3.948375    3.228759    3.246905    3.541084    2.645489    3.746124    2.771940    2.713789    3.756035    2.496620
 30     0.281831    2.259774    0.364125    1.906860    1.657879    0.136218    1.440032    1.233263    0.907080    1.675542    0.621361    2.080912    0.958182    0.305850    0.694864    0.393383    0.825910    1.922248    2.055040    0.257860    1.775629    0.596888    1.120351    1.549746    1.778729    0.441832    1.895536    0.860381    1.387696    0.000000    1.019858    1.406709    1.985007    1.684401    2.158261    1.849552    1.835222    1.361815    1.189221    2.086728    1.893013    1.863516    2.026901    1.200434    0.809851    1.435397    2.095963    1.201215    2.054791    2.133323    2.037574    1.968587    0.868409    0.907700    2.180215    1.367047    1.884839    1.148028    1.527993    2.337888    1.344554    2.563428    1.912615    1.878509    2.195751    1.287461    2.441856    1.409816    1.331509    2.401375    1.110138
 31     1.301034    2.942359    0.987634    2.403771    2.288435    1.137593    1.945312    2.003431    1.123973    2.547725    1.504458    2.687404    1.605357    0.714013    1.246285    0.775487    1.778780    2.690828    2.785898    1.186420    2.436476    0.561147    1.889331    2.045414    2.412097    1.289810    2.575690    1.431488    2.274961    1.019858    0.000000    0.475543    1.207837    0.894566    1.293735    1.026537    1.023245    0.509994    0.179309    1.180472    1.097560    0.888464    1.217852    0.369674    0.323516    0.529056    1.206642    0.343787    1.172672    1.202284    1.199425    1.114315    0.156534    0.124126    1.350945    0.368786    1.011840    0.210618    0.597953    1.501517    0.488228    1.812963    0.959494    1.061694    1.291638    0.505747    1.471251    0.619739    0.704249    1.515466    0.772704
 32     1.685748    3.038652    1.272808    2.431922    2.388523    1.505597    2.011946    2.190978    1.201214    2.765822    1.785461    2.754448    1.772412    1.111676    1.433193    1.079800    2.078710    2.843130    2.913884    1.608063    2.543240    1.029572    2.084391    2.098688    2.506386    1.580564    2.685471    1.591012    2.512260    1.406709    0.475543    0.000000    0.747802    0.448817    0.818196    0.559444    0.559550    0.133719    0.426810    0.708771    0.636043    0.459212    0.749181    0.221050    0.598398    0.063742    0.732280    0.209983    0.697518    0.738837    0.725929    0.639735    0.577442    0.537143    0.877209    0.179131    0.536467    0.276473    0.125406    1.026456    0.127801    1.916772    0.934644    1.191517    1.291732    0.814657    1.349147    0.880463    1.043644    1.514893    1.201562
 33     2.243315    3.095870    1.746746    2.420514    2.491063    2.053217    2.098119    2.438814    1.437643    3.023527    2.197641    2.781537    2.031141    1.726478    1.764455    1.603636    2.495254    2.996617    3.026361    2.220488    2.644868    1.732847    2.351715    2.155569    2.591497    2.024563    2.782641    1.862737    2.812010    1.985007    1.207837    0.747802    0.000000    0.317047    0.267942    0.193791    0.188846    0.699586    1.174149    0.356318    0.111825    0.612978    0.081993    0.856806    1.215155    0.686821    0.307149    0.874245    0.277009    0.451118    0.154305    0.199500    1.275523    1.239553    0.219143    0.912835    0.279739    0.997542    0.646021    0.366510    0.721309    2.452310    1.462633    1.805630    1.781828    1.546618    1.687835    1.593585    1.775276    1.976679    1.949223
 34     1.948581    2.969493    1.466945    2.315774    2.341587    1.759451    1.949779    2.235663    1.219487    2.821907    1.939744    2.664726    1.819039    1.417835    1.524398    1.310475    2.238743    2.832402    2.877903    1.914630    2.497342    1.415803    2.140950    2.019617    2.449840    1.755956    2.638116    1.643460    2.594567    1.684401    0.894566    0.448817    0.317047    0.000000    0.481119    0.167927    0.151093    0.384722    0.873946    0.454530    0.212385    0.490667    0.344483    0.539847    0.902002    0.385449    0.441728    0.557866    0.397596    0.533578    0.354580    0.296018    0.958552    0.922761    0.496008    0.623586    0.245952    0.683949    0.367717    0.653739    0.406503    2.273966    1.274079    1.585004    1.616256    1.261940    1.585007    1.321251    1.491180    1.826542    1.646322
 35     2.425763    3.362535    1.948041    2.688227    2.754542    2.237327    2.361354    2.688490    1.679168    3.274346    2.418200    3.048787    2.276747    1.883457    1.996025    1.789274    2.717037    3.257810    3.290388    2.382612    2.908782    1.844353    2.598362    2.420649    2.856217    2.236459    3.047096    2.104965    3.056358    2.158261    1.293735    0.818196    0.267942    0.481119    0.000000    0.313197    0.332010    0.812868    1.223720    0.163321    0.296885    0.521418    0.187006    0.978618    1.362074    0.767008    0.108451    0.988051    0.125882    0.234282    0.132986    0.189711    1.387285    1.348288    0.112590    0.954363    0.283078    1.091137    0.697059    0.215266    0.832998    2.320341    1.357807    1.724208    1.648383    1.555685    1.508393    1.581726    1.778647    1.827086    1.988880
 36     2.115065    3.103246    1.634870    2.440784    2.482385    1.926184    2.089504    2.392097    1.377948    2.978437    2.106488    2.794723    1.977199    1.579567    1.688188    1.477524    2.405438    2.978458    3.019018    2.077536    2.637717    1.562395    2.299168    2.155278    2.588197    1.923576    2.777676    1.803069    2.754694    1.849552    1.026537    0.559444    0.193791    0.167927    0.313197    0.000000    0.026468    0.524312    0.984245    0.302539    0.085812    0.447161    0.191419    0.687025    1.060779    0.500124    0.280596    0.701016    0.236694    0.390372    0.188023    0.130692    1.103788    1.066431    0.334294    0.720821    0.122413    0.817570    0.453589    0.491406    0.545633    2.279791    1.284624    1.619784    1.612347    1.353172    1.542753    1.399838    1.581711    1.813323    1.759278
 37     2.099669    3.077240    1.616994    2.414481    2.456826    1.910543    2.063894    2.368408    1.354811    2.954730    2.086401    2.768567    1.953896    1.567190    1.666529    1.461542    2.385290    2.953321    2.993457    2.064590    2.612118    1.555568    2.275846    2.129410    2.562465    1.904501    2.752015    1.780119    2.731787    1.835222    1.023245    0.559550    0.188846    0.151093    0.332010    0.026468    0.000000    0.518180    0.985556    0.328100    0.077206    0.468230    0.197710    0.679371    1.049610    0.499137    0.304553    0.694479    0.260883    0.416500    0.203653    0.153847    1.097142    1.060197    0.345882    0.724018    0.147791    0.813610    0.457355    0.503537    0.539692    2.297865    1.301647    1.633983    1.631259    1.358462    1.565382    1.407336    1.587291    1.833321    1.760675
