@RELATION 2d-3c-no123_raw

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL

@DATA
-0.503948,-0.186919
-1.350590,-0.298855
-1.328450,0.073831
-1.468030,-0.463483
-2.523550,-0.028852
-1.704610,-0.308081
-1.798330,-0.567348
-2.081340,-0.626047
-1.958500,-0.483281
-1.059180,-0.657550
-1.381380,0.385008
-0.370573,-0.177124
-1.788020,0.166309
-0.095684,-0.241934
-1.586970,-0.499115
-0.214031,-0.249106
-1.968440,0.228968
-0.394591,-0.180563
-0.846852,-0.790622
-0.270405,0.048426
-1.118180,-0.007805
-1.560500,0.449574
-0.590905,-0.026863
-0.792575,-0.480176
-0.892659,0.108067
-1.001430,-0.255659
-1.833220,0.089580
-0.999252,-0.152005
-1.135360,-0.576676
-2.390880,-0.173220
-0.848488,0.145857
-1.259630,-0.229898
-0.901266,-0.027679
-1.327100,-0.719731
-1.250350,-0.179882
-2.478740,-0.493484
-0.660601,-0.139362
-1.230960,-0.226009
-2.612720,-0.386082
-1.281710,-0.230228
-1.275800,-0.156721
-1.321120,-0.197253
-1.070670,-0.264054
-1.544830,0.095145
-1.240980,0.449815
-1.891200,-0.010489
-2.247470,-0.455602
-1.343480,0.001269
-0.682757,0.302637
-1.480020,-0.296152
-1.917350,-0.056731
-1.598330,-0.250893
-0.907377,-0.404895
-2.548710,-0.199271
-1.213840,-0.155317
-2.026910,-0.042943
-2.499260,-0.228186
-1.116480,-0.248246
-0.920864,-0.033207
-1.431140,-0.102615
-0.479975,-0.664654
-1.873890,0.236099
-2.248070,0.185180
-1.482130,-0.068626
-1.649080,0.420663
-2.254940,-0.320799
-1.391610,-0.333832
-1.893180,0.100127
-1.162330,-0.556081
-0.262921,-0.199637
-0.155889,-0.181016
-0.538167,-0.638279
-0.903494,-0.092905
-0.176933,-0.510346
-2.518760,-0.190542
-2.261400,-0.196072
-0.652859,0.239286
-2.656330,-0.204368
-2.356910,-0.544193
-1.330180,-0.239455
-1.986050,0.146768
-0.467771,-0.484741
-1.059310,0.109113
-2.313060,-0.149764
-0.017724,-0.165011
-1.263100,0.462824
-0.522560,0.009761
-2.428810,-0.197367
-0.785361,0.273635
-2.005770,0.184063
-1.164130,-0.563739
-2.076770,-0.164574
-0.824798,-0.249291
-2.657430,-0.220234
-1.699700,-0.319241
-1.368220,-0.003837
-2.271800,-0.087098
-1.362580,0.038635
-2.431110,-0.637220
-1.544770,-0.189808
-1.131610,0.264064
-1.670360,0.326740
-0.754439,0.337697
-0.333364,-0.083483
-2.191870,-0.287490
-0.577400,-0.616809
-1.867730,-0.395942
-1.406920,-0.202211
-0.764989,0.224183
-1.680380,-0.017598
-1.676080,-0.348497
-1.974600,0.209459
-2.303550,-0.077211
-0.994190,-0.348846
-2.441940,-0.210048
-1.860430,-0.205542
-1.715100,0.216848
-0.906181,-0.058662
-1.249480,-0.483848
-1.882490,-0.220189
-0.671774,0.266806
-2.633470,-0.280889
-1.206950,-0.201858
-1.594950,-0.487181
-1.908290,-0.143211
-1.073040,-0.254002
-1.457990,0.142996
-0.967538,0.037438
-2.317580,-0.248441
-1.312750,-0.005924
-2.627770,-0.323700
-0.670005,-0.710908
-1.017850,-0.123012
-1.117960,-0.338308
-0.994087,-0.291256
-1.413940,-0.041404
-1.460600,-0.196794
-1.522450,-0.286282
-1.219460,-0.240816
-0.691053,-0.292521
-2.000410,-0.260530
-1.905420,-0.750528
-0.933791,-0.357619
-1.521750,-0.730370
-1.627210,-0.025788
-1.771640,-0.392020
-1.359630,-0.128588
-0.928579,0.061879
-2.004800,-0.264012
-1.053050,-0.080607
-1.743800,-0.270436
-2.454560,-0.014209
-1.896270,0.117720
-1.239530,-0.457355
-0.885817,0.121560
-2.066750,-0.141921
-0.557941,-0.418863
-2.635960,-0.102853
-2.748660,-0.351796
-1.604800,-0.187027
-0.450125,-0.335052
-2.223080,-0.258855
-2.400400,-0.173146
-2.116490,-0.131222
-1.599460,-0.383557
-1.694680,-0.845225
-0.221476,1.803890
0.062801,0.390328
-0.449465,0.924052
-0.094506,0.977684
0.064953,1.264220
-0.445305,1.505160
-0.225973,0.253598
-0.299763,0.603434
-0.197758,1.500090
0.113795,0.558188
0.064114,1.086120
-0.120915,1.599800
0.113971,0.844664
-0.483109,1.284860
-0.093884,1.610410
0.001794,0.487022
-0.415814,0.707531
-0.287276,1.429900
-0.066645,1.521680
0.072435,1.054360
0.058885,0.843051
-0.050946,0.455074
0.019444,0.863890
-0.091965,1.202570
-0.051177,1.736530
-0.277182,1.021180
-0.150938,1.637240
-0.453181,1.118790
-0.327101,1.222950
0.118602,1.293040
-0.284356,1.547200
-0.137615,0.534716
-0.135678,1.385740
0.031615,1.327870
0.044471,1.071170
-0.071398,0.939851
-0.079729,1.118510
-0.381724,0.571095
-0.240608,1.175210
-0.332900,1.380010
0.286967,0.529950
-0.346670,1.697020
-0.221653,1.477780
0.085084,0.839110
-0.480800,1.462470
-0.323461,0.347257
-0.075261,0.959864
-0.135714,1.383630
-0.145468,1.778380
0.017878,0.548708
0.171958,0.981572
-0.037818,1.862520
0.045663,0.573811
0.110775,1.275000
-0.044678,0.446026
-0.403459,1.450950
0.153763,1.323360
-0.017067,0.956764
0.020103,0.642278
-0.078557,1.284040
-0.097013,1.483950
-0.408621,0.791373
-0.097795,0.504033
0.061791,1.739470
-0.157132,1.141870
-0.234232,1.234140
0.098958,0.329103
-0.069416,0.900879
-0.243241,1.270040
-0.051612,1.041370
-0.051094,1.679040
-0.450845,1.213860
0.133506,0.918825
-0.044181,0.584322
-0.079657,1.063620
0.008957,1.165780
-0.171278,1.389820
-0.200504,0.842022
-0.077911,0.896374
0.129580,0.875152
-0.195978,1.380310
-0.039966,1.173690
0.263052,0.940845
-0.109524,1.318440
-0.036537,1.753820
0.003196,1.623080
-0.114191,0.868625
-0.059948,1.587660
-0.301544,0.482043
-0.290719,1.518330
0.215288,0.484665
0.145087,0.939982
-0.285355,1.395150
0.137718,1.390130
-0.218720,1.069300
-0.058785,1.094720
-0.148826,0.421336
-0.173225,1.639890
-0.165850,0.237550
-0.067078,0.739349
0.062443,0.790256
-0.062207,0.134981
-0.139193,1.428130
0.071182,1.570770
-0.076481,0.442831
-0.025263,0.590601
-0.412715,1.343660
-0.018994,0.571445
-0.024119,0.391592
-0.433175,1.653260
0.160140,0.847518
0.026278,0.812382
-0.424726,1.635500
-0.050079,0.864937
-0.038963,1.464010
-0.208568,1.307630
-0.150434,0.639779
-0.174114,0.481157
-0.383223,1.174130
-0.107578,0.415010
-0.243899,0.670048
-0.145815,1.714660
-0.101783,0.239203
-0.220943,0.695022
-0.170138,0.246895
-0.118207,1.672690
-0.512245,1.244150
-0.067756,0.814863
-0.147974,1.021970
0.260280,1.440050
-0.092123,1.713510
-0.029755,1.099050
-0.030881,0.522974
-0.267703,1.098990
-0.142375,1.603570
-0.235689,1.446520
0.090399,1.493280
-0.224848,1.308530
-0.197188,0.801384
0.257356,0.606282
0.275021,0.524446
0.182085,0.654140
0.110281,1.584400
-0.024701,1.836180
0.255876,1.257560
-0.208223,1.577640
-0.143025,1.020930
-0.030574,0.165036
-0.095719,0.993328
-0.044596,1.344230
0.032172,0.875593
-0.104128,0.715103
0.177718,1.445920
0.080568,1.412480
0.030107,0.329267
-0.460335,0.837750
-0.354584,0.955651
0.060938,1.530640
-0.265349,1.070610
-0.179555,0.380315
0.034866,0.248394
0.341081,0.959372
0.205305,1.405790
0.283352,0.575172
-0.121572,0.407148
0.015343,1.186390
0.000351,0.559597
-0.162438,1.651120
-0.165396,0.913660
-0.004959,0.386976
0.078940,0.957299
-0.140540,0.978749
0.276164,0.606887
-0.133047,0.703860
-0.018930,0.590956
-0.129559,0.916275
-0.119935,1.055460
-0.031516,0.892854
-0.255484,0.332388
-0.021675,0.912596
-0.150311,1.177800
-0.032633,0.473968
-0.137459,1.014600
-0.131620,1.084560
-0.125477,1.425010
-0.128437,1.465150
-0.050215,0.528265
-0.237008,0.617917
0.043576,1.371690
0.120427,0.265610
-0.216600,0.921127
-0.351496,0.936248
0.018864,1.596170
-0.034875,1.438330
0.081384,0.889078
0.104457,1.229890
-0.100942,1.589960
-0.356178,0.947610
0.128263,0.425169
-0.055709,1.415750
-0.300030,0.928726
-0.158442,0.960447
-0.025320,0.380094
0.009624,0.914341
-0.101562,0.692279
-0.278423,0.531773
-0.157747,1.269650
-0.401362,1.243460
0.104566,1.325560
-0.405869,1.326330
-0.022569,1.111180
-0.205173,0.371824
-0.193316,1.853710
-0.331151,1.742580
0.254298,1.223560
-0.073053,1.173000
-0.109870,1.458790
-0.242254,1.303470
-0.402079,1.601370
-0.272936,1.114670
-0.451805,1.070220
-0.028276,0.440982
-0.274462,0.731676
-0.199530,1.879350
-0.252471,0.726550
-0.217698,0.340898
-0.086572,1.004330
0.205570,0.825704
-0.112931,0.824790
-0.326491,1.420210
-0.513197,1.085920
-0.046921,1.143100
0.013079,1.838350
-0.110435,1.290650
0.054222,0.877905
-0.007685,1.560880
-0.033461,0.685315
-0.096273,1.068500
-0.064679,1.214560
-0.025529,0.282620
-0.137159,0.666667
-0.129757,0.990801
-0.403740,0.638969
-0.107398,1.040170
-0.169413,0.959483
-0.226235,1.604790
0.047249,1.256950
0.164889,1.588270
-0.412457,0.729890
-0.198961,1.730590
0.009185,0.656006
0.204469,0.672732
-0.130700,0.634943
-0.429805,0.809201
-0.132356,1.573770
-0.171511,1.136260
0.152904,0.384054
0.138244,0.524834
0.126434,1.238110
-0.338709,1.585660
0.154001,0.829024
-0.102258,1.241780
-0.188332,1.439980
-0.491601,0.970934
0.026856,0.438899
-0.111568,1.497210
-0.274154,0.334417
-0.192578,1.778940
-0.177818,1.262280
0.039290,0.502275
-0.254498,1.265410
-0.120459,0.213602
-0.329975,0.969496
0.133041,1.386390
0.030846,0.674489
-0.134873,0.365133
-0.287833,1.570800
0.110788,0.653265
0.205297,0.916799
-0.235038,0.736713
-0.149685,1.659680
-0.022776,1.850230
-0.301898,0.718752
-0.093054,0.804397
-0.097981,1.775070
0.232383,1.022680
-0.131119,0.838356
-0.112713,1.318530
-0.388593,1.676950
-0.347113,1.365470
-0.038490,0.941842
-0.207305,0.834538
-0.161057,1.609380
-0.026570,0.307781
-0.000077,0.661771
-0.108911,1.705940
-0.386316,1.442230
-0.098608,1.082500
0.043166,1.013750
-0.216798,1.441310
0.171647,1.520910
0.286649,1.120910
-0.192133,1.763390
-0.135096,1.046710
-0.274375,1.650210
-0.127550,1.463880
-0.092130,1.493820
0.060141,1.816020
-0.170709,1.525940
-0.160280,0.851100
-0.032874,1.144540
-0.058815,0.291776
-0.158546,0.490830
-0.046098,0.330761
-0.053142,1.392380
-0.154452,1.723690
-0.166084,1.029850
-0.421428,0.579461
0.041275,0.432033
0.022190,0.485386
0.155432,0.747291
-0.058743,1.222340
-0.073817,0.378851
-0.037170,0.950456
-0.049020,1.395970
-0.123170,1.396360
0.006339,0.423047
-0.325464,0.681516
-0.202499,1.535790
-0.007795,0.588762
-0.388525,1.247640
-0.132642,1.257010
-0.129014,1.122800
0.075355,0.909989
0.178629,0.515950
-0.132412,0.426226
0.258078,0.521922
0.253080,0.797868
-0.219811,1.072680
-0.384922,1.280180
0.212602,0.928494
-0.243259,1.394240
-0.196894,0.710570
-0.121628,1.551250
-0.131207,1.074600
-0.021646,0.506637
0.038772,0.987798
-0.206512,0.906122
-0.123089,1.740260
-0.229662,1.820800
-0.084859,1.233860
-0.107232,0.397119
0.115084,1.452820
-0.129653,1.879460
-0.454149,0.819185
-0.093275,1.013130
-0.227224,1.055920
-0.030310,1.063140
0.219771,1.228940
-0.223277,1.650010
-0.396191,1.095310
-0.120218,1.378290
-0.299817,0.781953
-0.094657,0.441106
0.202273,1.178900
-0.107358,0.847944
-0.211469,1.672310
-0.261236,0.912121
-0.138234,1.142710
0.024651,1.562400
1.736930,0.827345
1.207560,0.704951
-0.017380,0.067235
0.979202,0.359072
1.058580,0.438427
0.986176,0.168579
0.696360,0.621030
1.910360,0.807683
0.266048,0.268015
0.878199,0.236265
1.178080,0.283359
0.834534,0.323172
0.426654,-0.116503
0.549310,0.472711
0.633475,-0.294034
0.831563,0.295551
0.210567,0.069590
0.329611,0.094872
0.344541,0.105343
1.875760,0.386286
1.988980,0.528470
1.408080,0.180669
0.193050,0.129644
1.551410,1.186880
1.240700,0.561161
0.910380,0.345472
1.463360,0.915821
0.713901,0.594833
1.160850,-0.070032
0.732168,0.331880
0.948281,0.759862
0.390676,0.242250
1.124150,0.417417
0.804677,0.056203
1.573240,0.700699
0.760675,0.142697
1.594560,0.650930
0.754131,0.310967
0.502170,0.202826
1.895660,1.164010
0.435519,0.258770
1.305470,0.742611
0.546530,0.242725
1.345920,1.110180
0.990297,0.573907
0.901193,0.320947
1.000910,0.259203
0.671103,0.271813
0.366828,0.155423
0.684603,0.059678
1.820800,0.662337
0.621279,0.041922
2.000660,0.736656
1.309630,0.937974
0.795597,0.316060
1.845050,0.838497
0.891438,0.354059
1.113870,0.474460
1.213660,0.080074
1.220370,0.517024
1.984100,0.915468
0.402925,-0.293767
0.063872,-0.023090
1.596940,0.764727
1.399770,0.416414
0.772883,0.394705
0.484581,0.237697
1.531130,0.765361
1.645350,0.748330
0.521866,-0.049687
1.725110,0.762195
0.793120,0.511217
0.394256,0.002088
1.779390,0.691058
1.367170,0.681114
1.602920,1.010190
1.763780,0.291525
0.534542,-0.221663
1.302740,0.366262
0.016068,0.213499
0.561435,-0.170464
