@RELATION cpu_normalized

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL

@DATA
-0.592448,-0.611968,-0.837387,-0.424504,-0.543911,-0.550141
-0.592448,-0.482751,-0.666425,-0.424504,-0.543911,-0.511583
-0.592448,-0.224316,-0.324500,-0.424504,-0.543911,-0.511583
-0.592448,-0.482751,-0.666425,-0.424504,-0.249791,-0.511583
-0.592448,-0.482751,-0.324500,-0.424504,-0.249791,-0.511583
-0.592448,-0.224316,0.359350,-0.424504,-0.249791,-0.511583
-0.592448,-0.224316,0.359350,-0.424504,-0.249791,-0.473026
-0.592448,-0.224316,0.359350,-0.424504,-0.249791,-0.473026
-0.272774,-0.482751,0.017425,-0.399832,-0.249791,-0.241678
-0.272774,-0.482751,-0.324500,-0.399832,-0.249791,-0.241678
2.334687,-0.608867,-0.964583,-0.424504,-0.543911,-0.665815
2.334687,-0.482751,-0.580943,-0.621882,-0.543911,-0.665815
0.447455,-0.608867,-0.324500,-0.523193,-0.543911,-0.511583
-0.014724,-0.608867,-0.324500,-0.424504,-0.543911,-0.395910
1.911023,-0.641946,-0.324500,-0.621882,-0.543911,-0.665815
1.911023,-0.675026,-0.837387,-0.621882,-0.543911,-0.665815
-0.245814,-0.482751,0.359350,-0.227126,-0.543911,-0.588699
-0.014724,-0.482751,-0.324500,-0.621882,-0.543911,-0.627257
-0.361359,-0.482751,-0.666425,-0.227126,-0.543911,-0.627257
-0.361359,-0.482751,0.017425,-0.227126,-0.543911,-0.627257
0.062306,-0.482751,-0.324500,-0.227126,-0.543911,-0.627257
2.296172,-0.675026,-0.324500,-0.621882,-0.543911,-0.550141
2.296172,-0.675026,-0.324500,-0.621882,-0.543911,-0.550141
2.296172,-0.675026,-0.324500,-0.621882,-0.543911,-0.550141
2.296172,-0.675026,-0.324500,-0.621882,-0.543911,-0.550141
2.296172,-0.675026,-0.324500,-0.621882,-0.543911,-0.550141
-0.303586,-0.608867,-0.922868,-0.621882,0.485509,0.066784
-0.496161,-0.224316,-0.324500,0.957141,-0.543911,0.760826
-0.496161,-0.224316,0.359350,0.957141,-0.543911,0.760826
-0.496161,-0.224316,0.359350,2.536163,-0.543911,0.760826
-0.438388,-0.675026,-0.922868,-0.621882,-0.249791,-0.318794
-0.380616,-0.675026,-0.837387,-0.621882,-0.249791,-0.318794
-0.380616,-0.482751,-0.666425,-0.621882,-0.249791,0.221016
-0.380616,-0.224316,-0.666425,-0.424504,-0.249791,0.028227
-0.496161,-0.224316,-0.324500,-0.424504,-0.249791,0.221016
-0.496161,0.034118,-0.324500,-0.424504,-0.249791,1.146405
-0.111011,-0.675026,-0.837387,-0.621882,-0.249791,0.221016
0.370425,-0.542708,-0.751906,-0.621882,0.191389,0.221016
0.370425,-0.542708,-0.751906,-0.473848,0.191389,0.221016
0.370425,-0.542708,0.017425,-0.473848,0.191389,0.221016
0.370425,-0.542708,-0.623684,-0.621882,-0.543911,0.221016
0.370425,-0.641946,0.017425,-0.473848,-0.543911,0.221016
0.370425,-0.691566,-0.942700,-0.473848,0.191389,0.221016
-0.091754,-0.542708,0.017425,-0.473848,-0.543911,0.490921
0.485970,-0.482751,-0.751906,-0.621882,-0.396851,-0.550141
0.370425,-0.482751,-0.666425,-0.424504,-0.249791,1.763330
0.370425,-0.482751,0.359350,-0.424504,-0.396851,3.614108
0.485970,-0.482751,-0.837387,-0.621882,-0.543911,-0.627257
0.485970,-0.482751,-0.666425,-0.621882,-0.249791,-0.473026
-0.245814,-0.224316,-0.666425,-0.621882,-0.249791,-0.473026
-0.245814,-0.224316,-0.666425,-0.621882,-0.102731,-0.395910
-0.245814,-0.224316,-0.666425,-0.424504,-0.543911,0.066784
-0.245814,-0.224316,1.727049,0.167629,-0.543911,0.066784
-0.245814,-0.224316,-0.324500,0.167629,-0.543911,1.377752
-0.245814,-0.224316,1.727049,0.167629,-0.543911,1.377752
-0.245814,-0.224316,1.727049,0.167629,-0.543911,1.377752
-0.245814,-0.224316,-0.666425,-0.424504,-0.543911,0.066784
-0.565488,0.292553,0.359350,-0.597210,0.191389,-0.241678
-0.565488,0.292553,1.043200,0.957141,1.073749,-0.087447
-0.684884,3.393767,1.727049,0.957141,1.661989,0.221016
-0.684884,3.393767,1.727049,0.957141,0.485509,0.221016
-0.684884,1.326291,1.727049,-0.621882,0.485509,0.221016
-0.684884,1.326291,0.359350,-0.621882,0.485509,-0.087447
1.063694,-0.716376,-0.964583,-0.621882,-0.543911,-0.665815
-0.003170,-0.482751,-0.837387,-0.621882,-0.543911,-0.511583
-0.342101,-0.608867,-0.495462,-0.227126,-0.543911,-0.473026
3.451620,-0.608867,-0.880128,-0.621882,-0.543911,-0.665815
3.451620,-0.542708,-0.837387,-0.621882,-0.543911,-0.665815
1.525873,-0.542708,-0.837387,-0.621882,-0.543911,-0.665815
0.755575,-0.224316,-0.666425,-0.621882,-0.543911,-0.665815
0.755575,0.292553,-0.324500,-0.621882,-0.543911,-0.665815
2.681321,-0.482751,-0.922868,-0.621882,-0.543911,-0.627257
2.681321,-0.608867,-0.922868,-0.621882,-0.543911,-0.627257
2.681321,-0.482751,-0.666425,-0.523193,-0.543911,-0.627257
2.681321,-0.482751,-0.666425,-0.424504,-0.543911,-0.627257
2.681321,-0.224316,-0.666425,-0.621882,-0.249791,-0.473026
0.081563,-0.224316,-0.666425,-0.424504,-0.249791,-0.473026
0.081563,-0.224316,-0.666425,-0.424504,-0.249791,-0.473026
-0.091754,-0.224316,-0.324500,-0.424504,-0.543911,-0.473026
-0.072497,-0.224316,0.359350,-0.227126,-0.543911,-0.473026
-0.091754,-0.224316,0.359350,-0.227126,-0.543911,-0.473026
0.081563,-0.482751,-0.666425,-0.572537,-0.249791,-0.473026
-0.688735,-0.224316,0.017425,-0.424504,-0.543911,-0.550141
-0.688735,-0.224316,0.017425,-0.227126,-0.249791,-0.511583
-0.719547,0.292553,0.359350,-0.424504,0.191389,-0.241678
-0.719547,0.292553,0.359350,0.167629,0.191389,-0.241678
4.992217,-0.542708,-0.922868,-0.621882,-0.690971,-0.704373
4.992217,-0.542708,-0.837387,-0.621882,-0.690971,-0.704373
2.296172,-0.542708,-0.837387,-0.621882,-0.690971,-0.704373
-0.592448,-0.224316,-0.666425,-0.621882,-0.249791,-0.473026
-0.592448,-0.224316,-0.324500,-0.424504,-0.249791,-0.473026
-0.592448,-0.224316,-0.324500,-0.424504,-0.543911,-0.473026
-0.592448,-0.224316,0.359350,-0.029748,-0.543911,-0.473026
-0.592448,-0.224316,0.359350,-0.029748,-0.543911,-0.473026
-0.592448,1.326291,0.359350,0.562385,-0.543911,-0.318794
-0.399873,-0.482751,-0.324500,-0.621882,-0.396851,-0.473026
-0.399873,-0.482751,-0.324500,-0.029748,-0.396851,-0.473026
-0.399873,-0.482751,-0.324500,-0.029748,-0.249791,-0.473026
-0.592448,-0.224316,0.359350,-0.325815,-0.249791,-0.087447
-0.592448,-0.224316,0.359350,-0.029748,0.191389,-0.087447
-0.592448,-0.224316,0.359350,-0.029748,0.191389,-0.087447
-0.207299,-0.608867,-0.666425,-0.621882,0.485509,4.231033
-0.342101,-0.224316,-0.324500,-0.227126,-0.543911,-0.588699
-0.342101,-0.224316,-0.666425,-0.572537,-0.543911,-0.511583
-0.430685,-0.224316,-0.324500,0.167629,-0.543911,-0.473026
-0.430685,-0.224316,-0.324500,0.167629,-0.543911,-0.473026
-0.430685,-0.224316,-0.324500,-0.523193,-0.543911,-0.473026
-0.496161,0.292553,0.359350,-0.227126,-0.543911,-0.473026
-0.553933,0.292553,0.359350,0.167629,-0.543911,-0.473026
-0.553933,-0.224316,0.359350,0.957141,0.044329,-0.395910
-0.553933,0.292553,0.359350,0.957141,0.044329,-0.395910
-0.592448,0.292553,0.359350,0.957141,0.044329,-0.318794
-0.507715,0.292553,0.359350,0.957141,0.485509,-0.087447
-0.507715,-0.224316,-0.324500,-0.227126,0.191389,-0.395910
-0.630963,1.326291,0.359350,0.167629,0.485509,-0.087447
-0.630963,1.326291,1.727049,0.957141,0.485509,0.221016
-0.650221,1.326291,1.727049,0.957141,0.485509,0.221016
-0.638666,3.393767,1.727049,2.536163,1.661989,0.529479
-0.600151,0.292553,1.043200,0.167629,0.485509,0.221016
-0.638666,1.326291,1.727049,0.957141,0.485509,0.221016
-0.669478,3.393767,1.727049,5.694208,1.661989,0.221016
-0.353656,-0.482751,-0.922868,-0.621882,-0.543911,-0.550141
-0.461497,-0.482751,-0.837387,-0.621882,-0.543911,-0.473026
-0.569339,-0.482751,-0.666425,-0.621882,-0.543911,-0.473026
-0.569339,-0.224316,-0.495462,-0.621882,-0.543911,-0.395910
-0.569339,-0.224316,-0.324500,-0.621882,-0.543911,-0.395910
-0.569339,0.292553,-0.324500,-0.621882,-0.543911,-0.395910
-0.569339,0.292553,0.017425,-0.621882,-0.543911,-0.395910
-0.569339,0.292553,0.359350,-0.621882,-0.543911,-0.395910
-0.638666,0.292553,-0.324500,0.167629,1.661989,0.529479
-0.638666,0.292553,-0.324500,0.167629,1.661989,0.529479
-0.638666,1.326291,0.359350,0.957141,-0.102731,-0.395910
-0.638666,1.326291,1.043200,3.325674,-0.102731,-0.395910
-0.638666,0.292553,0.359350,2.536163,1.661989,0.529479
-0.014724,-0.482751,-0.837387,-0.621882,-0.543911,-0.627257
-0.014724,-0.482751,-0.666425,-0.621882,-0.543911,-0.550141
-0.014724,-0.224316,-0.324500,0.957141,-0.543911,-0.511583
0.177851,-0.608867,-0.666425,-0.621882,-0.543911,-0.434468
0.177851,-0.608867,-0.666425,-0.621882,-0.102731,-0.434468
0.177851,-0.482751,0.359350,-0.597210,-0.543911,-0.395910
-0.168784,-0.608867,-0.666425,-0.572537,-0.543911,-0.511583
-0.168784,-0.608867,-0.837387,-0.572537,-0.249791,-0.395910
-0.168784,-0.482751,-0.666425,-0.424504,-0.543911,-0.164563
-0.168784,-0.482751,-0.324500,-0.227126,-0.543911,-0.164563
-0.168784,-0.224316,-0.324500,0.167629,-0.543911,-0.203121
0.139336,-0.608867,-0.922868,-0.424504,-0.543911,-0.588699
0.139336,-0.608867,-0.837387,-0.424504,-0.543911,-0.511583
-0.380616,-0.224316,-0.666425,-0.424504,-0.249791,-0.395910
-0.380616,-0.224316,-0.495462,-0.227126,0.191389,-0.087447
-0.380616,-0.224316,-0.324500,-0.227126,-0.102731,-0.164563
-0.584745,0.292553,0.359350,0.167629,-0.102731,-0.241678
-0.515418,0.292553,0.017425,-0.424504,0.191389,-0.395910
-0.557785,0.292553,0.017425,0.167629,0.191389,-0.241678
-0.557785,1.326291,0.359350,0.957141,1.073749,0.221016
-0.684884,1.326291,1.043200,0.167629,0.485509,-0.087447
-0.684884,1.326291,1.727049,0.957141,1.073749,-0.087447
-0.684884,1.326291,1.727049,2.536163,2.838468,0.529479
-0.338250,-0.224316,-0.324500,0.167629,0.044329,0.375247
-0.592448,-0.224316,1.727049,-0.029748,0.191389,0.298132
-0.592448,-0.224316,1.727049,0.562385,3.132588,1.300636
-0.592448,-0.224316,1.727049,2.141407,6.956148,3.305645
-0.592448,0.292553,1.727049,2.141407,6.956148,3.305645
-0.669478,1.326291,4.462448,1.746652,1.073749,6.081811
-0.669478,1.326291,4.462448,2.536163,1.073749,6.081811
-0.091754,-0.673475,-0.666425,-0.621882,-0.543911,-0.588699
-0.091754,-0.608867,-0.666425,-0.621882,-0.543911,-0.588699
-0.091754,-0.673475,-0.666425,-0.621882,-0.543911,-0.588699
-0.091754,-0.608867,-0.666425,-0.621882,-0.543911,-0.588699
-0.307438,-0.482751,-0.324500,-0.621882,-0.543911,-0.395910
-0.407576,-0.482751,-0.324500,0.167629,-0.396851,-0.395910
-0.303586,-0.224316,-0.324500,-0.621882,-0.396851,-0.164563
1.063694,-0.608867,-0.324500,0.167629,-0.690971,-0.704373
1.063694,-0.482751,-0.666425,-0.621882,-0.690971,-0.704373
